sorted,word,full text,candidates
"(kin_E, cynn_OE);(cynn_OE, *kunja-_PGer);(*kunja-_PGer, *gene-_PIEIE)",kin,"c. 1200, from Old English cynn ""family; race; kind, sort, rank; nature"" (also ""gender, sex,"" a sense obsolete since Middle English), from Proto-Germanic *kunja- ""family"" (source also of Old Frisian kenn, Old Saxon kunni ""kin, kind, race, tribe,"" Old Norse kyn, Old High German chunni ""kin, race;"" Danish kjön, Swedish kön, Middle Dutch, Dutch kunne ""sex, gender;"" Gothic kuni ""family, race,"" Old Norse kundr ""son,"" German Kind ""child""), from PIE root *gene- ""give birth, beget,"" with derivatives referring to procreation and familial and tribal groups.
In the Teutonic word, as in Latin genus and Greek [genos], three main senses appear, (1) race or stock, (2) class or kind, (3) gender or sex .... [OED]Related to both words kind and to child. From 1590s as an adjective, from the noun and as a shortening of akin. Legal next of kin (1540s) does not include the widow, ""she being specifically provided for by the law as widow"" [Century Dictionary], and must be a blood relation of the deceased.","cynn,*kunja-,kenn,kunni,kyn,chunni,kjön,kön,kunne,kuni,kundr,Kind,*gene-,genus,genos,kind,child,akin,next of kin,widow"
"(keystroke_E, key (n.1)_E, stroke (n.)_E)",keystroke,"1902, from key (n.1) + stroke (n.). Not in common use until the rise of computers. As a verb, by 1966 (implied in keystroking).","key,stroke,keystroking"
"(kinfolk_E, kin (n.)_E, folk (n.)_E)",kinfolk,"also kin-folk, 1802, principally American English but the earliest references are British; from kin (n.) + folk (n.). Kinsfolk is recorded from 1844.","kin-folk,kin,folk,Kinsfolk"
"(knucklehead_E, knuckle (n.)_E, head (n.)_E)",knucklehead,"also knuckle-head, ""stupid person,"" 1890, American English, from knuckle (n.) + head (n.).""That infernal knuckle-head at the camp ought to have reported before now,"" he thought to himself, as he smoked. [Charles H. Shinn, ""The Quicksands of Toro,"" in ""Belford's Magazine,"" vol. v, June-November 1890, New York]From 1869 as the name of a part in a type of mechanical coupling device. Popularized in the ""stupid person"" sense from 1942, from character R.F. Knucklehead, star of ""Don't"" posters hung up at U.S. Army Air Force training fields.Everything Knucklehead does is wrong and ends in disaster. He endures one spectacular crash after another so that the students at the Gulf Coast Air Force Training Center may profit by his mistakes, and it looks now as if there will be no let-up in his agony. [""Life,"" May 25, 1942]","knuckle-head,knuckle,head,R.F. Knucklehead"
"(lease (n.)_E, les_AF);(les_AF, lais_OF/lez_OF);(lais_OF/lez_OF, laissier_F)",lease (n.),"late 14c., ""legal contract conveying property, usually for a fixed period of time and with a fixed compensation,"" from Anglo-French les (late 13c.), Old French lais, lez ""a lease, a letting, a leaving,"" verbal noun from Old French laissier ""to let, allow, permit; bequeath, leave"" (see lease (v.)). Figuratively from 1580s, especially of life. Modern French equivalent legs is altered by erroneous derivation from Latin legatum ""bequest, legacy.""","les,lais,lez,laissier,lease,legs,legatum"
"(lease (v.)_E, lesser_AF);(lesser_AF, laissier_OF);(laissier_OF, laxare_L);(laxare_L, laxus_L);(laxus_L, *sleg-_LPIE)",lease (v.),"late 15c., ""to take a lease,"" from Anglo-French lesser (13c.), Old French laissier ""to let, let go, let out, leave"" ""to let, allow, permit; bequeath, leave,"" from Latin laxare ""loosen, open, make wide,"" from laxus ""loose"" (from PIE root *sleg- ""be slack, be languid""). Medial -x- in Latin tends to become -ss- or -s- in French (compare cuisse from coxa). The Latin verb also is the source of Spanish laxar; Italian lasciare ""leave,"" lassare ""loosen.""

Compare release (v.). Meaning ""to grant the temporary possession of at a fixed rate"" is from 1560s. Related: Leased; leasing. The form has been influenced by the noun, and the modern sense of ""to take a lease"" might be a new 19c. formation. Lessor, lessee in contract language preserve the Anglo-French vowel.","lesser,laissier,laxare,laxus,*sleg-,-x-,-ss-,-s-,cuisse,coxa,laxar,lasciare,lassare,release,Leased,leasing,Lessor,lessee"
"(looey_E, lieutenant_E)",looey,"1916, American English, colloquial familiar form of lieutenant.",lieutenant
"(Lemnos_E, l-b-n_Sem)",Lemnos,"Greek island, the name is believed to be of Phoenician origin, from Semitic root l-b-n ""white."" Related: Lemnian.","l-b-n,Lemnian"
"(links_E, link_Scot);(link_Scot, hlinc_OE)",links,"""undulating sandy ground,"" 1728, from Scottish/Northumbrian link ""sandy, rolling ground near seashore, a crook or winding of a river,"" from Old English hlinc ""rising ground, ridge;"" perhaps from the same Proto-Germanic root as lean (v.). The Scottish word for the type of landscape where golf was born; the word has been part of the names of golf courses at least since 1728. The southern form of the word was Middle English linch ""rising ground, especially between plowed fields or along a chalk down,"" which persisted in dialect.","link,hlinc,lean,linch"
"(letters_E, letter (n.)_E)",letters,"""the profession of authorship or literature,"" mid-13c., from plural of letter (n.); as in Latin, French. Man of letters attested from 1640s.","letter,Man of letters"
"(loris_E, loris_F);(loris_F, loeris_Dut)",loris,"small primate of Sri Lanka, 1774, from French loris (Buffon), which is of unknown origin, sometimes said to be from obsolete Dutch loeris ""booby, clown.""","loris,loeris"
"(locker_E, lokken_E)",locker,"""small chest that can be locked,"" late 14c., agent noun from Middle English lokken (see lock (v.)). Especially for individual use in companies of men, as on shipboard or in military regiments. As a characteristic of high school life, 20c. Earlier the word meant ""a mechanism for locking"" (early 14c.).","locked,lokken,lock"
"(lone_e, alone_E)",lone,"late 14c., ""having no companion, solitary, apart from any other,"" shortening of alone (q.v.) by weakening of stress or else by misdivision of what is properly all one. Used attributively, while the full form is used in the predicate. Compare live (adj.), from alive; colloquial 'long for along. The Lone Star in reference to Texas is first recorded 1843, from its flag when it was a nation. Lone wolf in the figurative sense is 1901, American English.","alone,all one,live,alive,'long,along,Lone Star,Lone wolf"
"(lithe_E, liðe_OE);(liðe_OE, *linthja-_PGer);(*linthja-_PGer, *lento-_PIE)",lithe,"Old English liðe ""soft, mild, gentle, calm, meek,"" also, of persons, ""gracious, kind, agreeable,"" from Proto-Germanic *linthja- (source also of Old Saxon lithi ""soft, mild, gentle,"" Old High German lindi, German lind, Old Norse linr ""soft to the touch, gentle, mild, agreeable,"" with characteristic loss of ""n"" before ""th"" in English), from PIE root *lento- ""flexible"" (source also of Latin lentus ""flexible, pliant, slow,"" Sanskrit lithi).

In Middle English, used of the weather. Current sense of ""easily flexible"" is from c. 1300. Related: Litheness. Old and Middle English had the related verb lin ""to cease doing (something),"" also used of the wind dying down.","liðe,*linthja-,lithi,lindi,lind,linr,*lento-,lentus,lithi,Litheness,lin"
"(legislature_E, legislator_E, -ure_E)",legislature,"""a body of lawmakers,"" 1670s; see legislator + -ure.","legislator,-ure"
"(labyrinth_E, laberynthe_E);(laberynthe_E, labyrinthus_L);(labyrinthus_L, labyrinthos_G)",labyrinth,"c. 1400, laberynthe (late 14c. in Latinate form laborintus) ""labyrinth, maze, great building with many corridors and turns,"" figuratively ""bewildering arguments,"" from Latin labyrinthus, from Greek labyrinthos ""maze, large building with intricate passages,"" especially the structure built by Daedelus to hold the Minotaur, near Knossos in Crete, a word of unknown origin.

Apparently from a pre-Greek language; traditionally connected to Lydian labrys ""double-edged axe,"" symbol of royal power, which fits with the theory that the original labyrinth was the royal Minoan palace on Crete. It thus would mean ""palace of the double-axe."" But Beekes finds this ""speculative"" and compares laura ""narrow street, narrow passage, alley, quarter,"" also identified as a pre-Greek word. Used in English for ""maze"" early 15c., and in figurative sense of ""confusing state of affairs"" (1540s). As the name of a structure of the inner ear, the essential organ of hearing, from 1690s.","laberynthe,laborintus,labyrinthus,labyrinthos,labrys,laura"
"(live (v.)_E, lifian_OE/libban_OE);(lifian_OE/libban_OE, *libejanan_PGer);(*libejanan_PGer, *leip-_PIE)",live (v.),"Middle English, from Old English lifian (Anglian), libban (West Saxon) ""to be, be alive, have life; continue in life; to experience,"" also ""to supply oneself with food, procure a means of subsistence; pass life in a specified fashion,"" from Proto-Germanic *libejanan (source also of Old Norse lifa ""to be left; to live; to live on,"" of fire, ""to burn;"" Old Frisian libba, German leben, Gothic liban ""to live""), from PIE root *leip- ""to stick, adhere,"" forming words meaning ""to remain, continue.""
Meaning ""to make a residence, dwell"" is from c. 1200. Meaning ""express in one's life"" (live a lie) is from 1540s. Intensified sense ""have life abundantly, make full use of life's opportunities"" is from c. 1600. Related: Lived; living. To live it up ""live gaily and extravagantly"" is from 1903. To live up to ""act in accordance with, not live below the standard of"" is 1690s, from earlier live up ""live on a high (moral or mental) level"" (1680s). To live (something) down ""cause (something disreputable) to be forgotten by subsequent blameless course, live so as to disprove"" is from 1842. To live with ""cohabit as husband and wife"" is attested from 1749; sense of ""to put up with"" is attested from 1937. Expression live and learn is attested from c. 1620.
According to the Dutch Prouerbe ... Leuen ende laetan leuen, To liue and to let others liue. [Gerard de Malynes, 1622]","lifian,libban,*libejanan,lifa,libba,leben,liban,*leip-,live a lie,Lived,living,live it up,live up to,live up,live (something) down,live with,live and learn,Leuen ende laetan leuen"
"(live (adj.)_E, alive_E)",live (adj.),"1540s, ""having life, not dead,"" a shortening of alive (q.v.). From 1610s of fire, coal, etc., ""burning, glowing;"" 1640s of things, conditions, etc., ""full of active power;"" sense of ""containing unspent energy or power"" (live ammunition) is from 1799. Meaning ""in-person, not recorded"" (of performance) is first attested 1934. Live wire is attested from 1890, ""circuit through which an electric current is flowing;"" figurative sense of ""active person"" is from 1903. Jocular real live ""genuine"" is from 1887. The older adjective is lively.A GRIM RECORD -- The death harvest of the ""live wire"" and ""third rail"" goes right on. It is not governed by seasons nor, qualified by time. It is the ubiquitous epidemic of electricity, defiant of doctors and ruthless as fate. [""The Insurance Press,"" Aug. 22, 1900]","alive,live ammunition,Live wire,real live,lively"
"(longhorn_E, long (adj.)_E, horn (n.)_E)",longhorn,"also long-horn, in reference to a type of cattle, 1808, from long (adj.) + horn (n.).","long-horn,long,horn"
"(linament_E, linamentum_L);(linamentum_L, linum_L)",linament,"""lint rolled and used for dressing wounds,"" 1620s, from Latin linamentum ""linen stuff,"" from linum (see linen).","linamentum,linum,linen"
"(lobate_E, lobatus_ModL);(lobatus_ModL, lobus_L)",lobate,"""having lobes,"" 1760, from Modern Latin lobatus ""lobed,"" from lobus ""a lobe"" (see lobe). Related: Lobation.","lobatus,lobus,lobe,Lobation"
"(literalist_E, literal_E, -ist_E)",literalist,"""one who adheres to the exact word,"" 1640s, from literal + -ist. Related: Literalistic (1850).","literal,-ist,Literalistic"
"(levo-_E, lévo-_F);(lévo-_F, laevus_L);(laevus_L, *laiwo-_PIE)",levo-,"also laevo-, word-forming element meaning ""toward the left,"" from French lévo-, from Latin laevus ""left,"" from PIE *laiwo- ""left"" (see left (adj.)).","laevo-,lévo-,laevus,*laiwo-,left"
"(litotes_E, litotes_G);(litotes_G, litos_G);(litos_G, *(s)_E)lei-_PIE)",litotes,"rhetorical figure in which an affirmative is expressed by the negative of its contrary (""no laughing matter""), from Greek litotes ""plainness, simplicity,"" from litos ""smooth, plain,"" also ""frugal, small, meager,"" and, of style, ""simple, unadorned,"" from PIE root *(s)lei- ""slimy, sticky, slippery"" (hence ""smooth""); see slime (n.).","litotes,litos,*(s)lei-,slime"
"(labium_E, labium_L)",labium,"""lip or lip-like part,"" 1590s, plural labia (q.v.), from Latin labium ""lip"" (see lip (n.)).","labia,labium,lip"
"(lock-step_E, lock (n.1)_E, step (n.)_E)",lock-step,"1802, in military writing, to describe a very tight style of mass marching, from lock (n.1) + step (n.).Lock-step. A mode of marching by a body of men going one after another as closely as possible, in which the leg of each moves at the same time with and closely follows the corresponding leg of the person directly before him. [Thomas Wilhelm, ""Military Dictionary and Gazetteer,"" Philadelphia, 1881]Figurative use by 1836.","lock,step"
"(latest_E, late_E)",latest,"c. 1200, ""last, final,"" superlative of late. From 1590s as ""most recent."" As a noun, 1520s, ""the last in order."" Colloquial the latest ""the news"" attested from 1886. At the latest ""at the most distant date"" is from 1884.","late,the latest,At the latest"
"(lumbaginous_E, lumbago_E, -ous_E)",lumbaginous,"""afflicted with lumbago,"" 1610s, from Latin combining form of lumbago + -ous.","lumbago,-ous"
"(laboriously_E, laborious_E, -ly (2)_E)",laboriously,"early 15c., ""slowly and with difficulty,"" from laborious + -ly (2). Meaning ""earnestly, strongly"" is from c. 1500.","laborious,-ly"
"(love-apple_E, pomme d’amour_F);(pomme d’amour_F, Liebesapfel_Ger)",love-apple,"old name for ""tomato,"" 1570s, corresponding to French pomme d'amour, German Liebesapfel, but the reason for the term remains obscure. One guess is that it is a corruption of Italian pomo de'Mori or Spanish pome dei Moro, literally ""Moorish apple.""","pomme d'amour,Liebesapfel,pomo de'Mori,pome dei Moro"
"(lere_E, læran_OE);(læran_OE, leran_Kent)",lere,"OE læran, Kentish leran ""to teach"" (cognate with Old Frisian lera, Old Saxon lerian, Dutch leeren, Old High German leran, German lehren ""to teach""), literally ""to make known;"" see lore). From early 13c. as ""to learn.""","læran,leran,lera,lerian,leeren,leran,lehren,lore"
"(lunch-box_E, lunch (n.)_E, box (n.1)_E)",lunch-box,"1864, from lunch (n.) + box (n.1).","lunch,box"
"(Louis_E, Louis_F);(Louis_F, Loois_OF);(Loois_OF, Ludovicus_MediL);(Ludovicus_MediL, Hluodowig_OHGer)",Louis,"masc. proper name, from French Louis, from Old French Loois, probably via Medieval Latin Ludovicus, a Latinization of Old High German Hluodowig, literally ""famous in war"" (cognate with Clovis; for etymology see Ludwig).

As the name of a French gold coin 17c.-18c., short for Louis d'or, from the French kings of that name (originally Louis XIII) pictured on the coins. Louis-Quatorze (1855) refers to styles reminiscent of the time of King Louis XIV of France (1643-1715).","Louis,Loois,Ludovicus,Hluodowig,Clovis,Ludwig,Louis d'or,Louis,Quatorze"
"(labialize_E, labial_E, -ize_E)",labialize,"1856, from labial + -ize. Related: Labialized; labializing.","labial,-ize,Labialized,labializing"
"(love-letter_E, love (n.)_E, letter (n.)_E)",love-letter,"mid-13c., from love (n.) + letter (n.).","love,letter"
"(London_E, Londinium_L)",London,"chief city and capital of England, Latin Londinium (c.115), according to the ""Cambridge Dictionary of English Place-Names,"" ""unexplained."" It is often said to be ""place belonging to a man named *Londinos,"" a supposed Celtic personal name meaning ""the wild one,"" ""but this etymology is rejected in an emphatic footnote in Jackson 1953 (p.308), and we have as yet nothing to put in its place"" [Margaret Gelling, ""Signposts to the Past: Place-Names and the History of England,"" Chichester, 1978]. Its mythical history is told in Layamon's ""Brut"" (c. 1200).

In late Old English often with -burg, -wic, or -ceaster. As an adjective, Old English had Lundenisc, but this seems to have fallen from use, and modern Londonish (1838) probably is a re-coinage. Also Londony (1884); Londonesque (1852); Londinensian (George Meredith); Londonian (1824, marked ""rare"" in OED).

London Bridge the children's singing game is attested from 1827. London broil ""large flank steak broiled then cut in thin slices"" attested 1930s, American English; London fog first attested 1785.","Londinium,*Londinos,-burg,-wic,-ceaster,Lundenisc,Londonish,Londony,Londonesque,Londinensian,Londonian,London Bridge,London broil,London fog"
"(loggy_E, logy_href)",loggy,"""heavy, sluggish,"" 1847; see logy. Related: Logginess.","logy,Logginess"
"(log-jam_E, log (n.1)_E, jam (n.2)_E)",log-jam,"also logjam, ""congestion of logs on a river,"" by 1851, American English; see log (n.1) + jam (n.2). The figurative sense is by 1890.","logjam,log,jam"
"(longtime_E, long (adj.)_E, time (n.)_E)",longtime,"also long-time, 1580s, from long (adj.) + time (n.).","long-time,long,time"
"(loan_E, lan_ONor);(lan_ONor, *laikhwniz_PGer);(*laikhwniz_PGer, *loikw-nes-_PIE);(*loikw-nes-_PIE, *leikw-_PIE)",loan,"late 12c., ""that which is lent or owning, a thing furnished on promise of future return,"" also ""a gift or reward from a superior, a gift of God,"" from Old Norse lan ""loan,"" from Proto-Germanic *laikhwniz (source also of Old Frisian len ""thing lent,"" Middle Dutch lene, Dutch leen ""loan, fief,"" Old High German lehan, German Lehn ""fief, feudal tenure""), originally ""to let have, to leave (to someone),"" from PIE *loikw-nes-, suffixed form of root *leikw- ""to leave.""

The Norse word also is cognate with Old English læn ""gift,"" which according to OED did not survive into Middle English, but its derived verb lænan is the source of lend (v.). From early 15c. as ""a contribution to public finances"" (ostensibly voluntary but often coerced; sometimes repaid, sometimes not). As a verb, loan is attested from 1540s, perhaps earlier, and formerly was current, but it has now been supplanted in England by lend, though it survives in American English. Slang loan shark first attested 1900 (see shark (n.)).","lan,*laikhwniz,len,lene,leen,lehan,Lehn,*loikw-nes-,*leikw-,læn,lænan,lend,loan,lend,loan shark,shark"
"(locative_E, *locativus_L);(*locativus_L, locus_L)",locative,"""grammatical case indicating 'place,' or 'the place wherein,'"" 1804, formed as if from Latin *locativus, from locus ""a place, spot, position"" (see locus) on model of Latin vocativus ""vocative"" (from vocatus, past participle of vocare ""to call, summon""). The case itself has been reconstructed as part of the Indo-European heritage and is well-preserved in some descendants, notably Sanskrit and Lithuanian; it survives elsewhere in relics, but Germanic abandoned it long ago. As an adjective by 1817, in grammatical use, 1841.","*locativus,locus,locus,vocativus,vocatus,vocare"
"(Ladino_E, Ladino_Span);(Ladino_Span, Latinus_L)",Ladino,"1889, a jargon of Spanish mixed with Hebrew, Arabic, and other elements, written in Hebrew characters, spoken by Sephardim in Turkey, Greece, etc.; from Spanish Ladino ""Latin,"" from Latin Latinus (see Latin. The Spanish word also had a sense of ""sagacious, cunning, crafty,"" on the notion of ""knowing Latin."" The Spanish word also appeared in American English in its Central American sense, ""mestizo, lighter-skinned mixed race person"" (1850).","Ladino,Latinus,Latin"
"(landwehr_E, Landwehr_Ger);(Landwehr_Ger, lantweri_OHGer);(lantweri_OHGer, lant_Ger, weri_Ger);(weri_Ger, *wer- (4)_PIE)",landwehr,"military reserves of Germany, Austria, or Switzerland, 1815, from German Landwehr, from Old High German lantweri, from lant ""land"" (see land (n.)) + weri ""protection,"" from PIE root *wer- (4)""to cover."" As distinguished from the militia, the Landsturm, with sturm ""alarm; storm"" (see storm (n.)).","Landwehr,lantweri,lant,land,weri,*wer-,Landsturm,sturm,storm"
"(line-up_E, line (v.2)_E, up (adv.)_E)",line-up,"also lineup, from the verbal phrase line up (1889 as ""form a line;"" 1902 as ""make into a line""); see line (v.2) + up (adv.). As a noun, the baseball version (1889) is older than the police version (1907).","lineup,line up,line,up"
"(long-lived_E, long (adv.)_E, live (v.)_E)",long-lived,"""having long life,"" c. 1400, from long (adv.) + past participle of live (v.). Old English had langlife ""long-lived.""","long,live,langlife"
"(leave-taking_E, take (v.)_E, leave (n.)_E)",leave-taking,"late 14c., from the verbal phrase to take leave, originally ""obtain or receive formal permission"" in any sense (c. 1300); see take (v.) + leave (n.). Sense evolution was through ""receive formal permission to depart;"" by 16c. it had begun to mean ""depart with an expression of farewell,"" and in some cases came to mean the farewell itself. Give (someone) leave (v.) ""allow, permit"" is from 12c.","to take leave,take,leave,Give (someone) leave"
"(lib_E, liberation_E)",lib,"1969, American English, shortening of liberation, used with possessives, originally in Women's Lib. Colloquial shortening libber for liberationist (n.) is attested from 1971.","liberation,Women's Lib,libber,liberationist"
"(lintel_E, lintel_OF);(lintel_OF, lintier_OF);(lintier_OF, *limitalis_VL);(*limitalis_VL, limitaris_L);(limitaris_L, limes_L)",lintel,"""horizontal piece resting on the jambs of a door or window,"" early 14c., from Old French lintel ""threshold"" (13c., Modern French linteau), a word of uncertain origin, probably a variant of lintier, from Vulgar Latin *limitalis ""threshold,"" or a similar unrecorded word, from Latin limitaris (adj.) ""that is on the border,"" from limes (genitive limitis) ""border, boundary"" (see limit (n.)). Altered by influence of Latin limen ""threshold.""","lintel,linteau,lintier,*limitalis,limitaris,limes,limitis,limit,limen"
"(longeron_E, longeron_F);(longeron_F, longer_F);(longer_F, allonger_F)",longeron,"airplane part, 1912, from French longeron, from longer ""to skirt, extend along,"" from allonger ""to lengthen"" (see lunge (n.)).","longeron,longer,allonger,lunge"
"(lobsterman_E, lobster (n.)_E, man (n.)_E)",lobsterman,"1823, American English, from lobster (n.) + man (n.).","lobster,man"
"(literary_E, littéraire_F);(littéraire_F, literarius_L/litterarius_L);(literarius_L/litterarius_L, littera_L/litera_L)",literary,"1640s, ""pertaining to alphabet letters,"" from French littéraire, from Latin literarius/litterarius ""belonging to letters or learning,"" from littera/litera ""alphabetic letter"" (see letter (n.1)). Meaning ""pertaining to literature"" is attested from 1737. Related: Literariness.","littéraire,literarius,litterarius,littera,litera,letter,Literariness"
"(luckily_E, lucky_E, -ly (2)_E)",luckily,"1520s, from lucky + -ly (2).","lucky,-ly"
"(lived-in_E, live (v.)_E, in (adv.)_E)_E)",lived-in,"""inhabited, occupied"" (sometimes with suggestion of ""shabby, disorderly""), 1873, from verbal phrase; see live (v.) + in (adv.).","live,in"
"(liminal_E, limit (n.)_E, -al (1)_E)",liminal,"""of or pertaining to a threshold,"" 1870, from Latin limen ""threshold, cross-piece, sill"" (see limit (n.)) + -al (1). Related: Liminality.","limen,limit,-al,Liminality"
"(likes_E, like (n.)_E)",likes,"""predilections, preferences,"" 1851, plural of like (n.), which was earlier used in the singular in this sense (early 15c.).",like
"(lapidary_E, lapidaire_OF);(lapidaire_OF, lapidarius_L);(lapidarius_L, lapis_L)",lapidary,"""one skilled in working with precious stones,"" late 14c., from Old French lapidaire ""stonecutter,"" also ""treatise on precious stones"" (12c.), from Latin lapidarius ""stonecutter,"" originally an adjective ""of or working with stone,"" from lapis (genitive lapidis) ""stone"" (see lapideous). Meaning ""a treatise on precious stones"" is late 14c. As an adjective in English from 1724. Related: Lapidarist.","lapidaire,lapidarius,lapis,lapidis,lapideous,Lapidarist"
"(lemon (n.1)_E, lymon_E);(lymon_E, limon_OF);(limon_OF, laimun_Arab);(laimun_Arab, limun_Per)",lemon (n.1),"""ovate, pale yellow citrus fruit,"" c. 1400, lymon, from Old French limon ""citrus fruit"" (12c.), which comes via Provençal or Italian from Arabic laimun, Persian limun. Apparently brought from India to the Levant by the Arabs 9c. or 10c.; the word is perhaps ultimately from an Austronesian word of the Malay archipelago, such as such as Balinese limo ""lemon,"" Malay limaw ""citrus fruit, lime"" (compare lime (n.2)).

Meaning ""person with a tart disposition"" is from 1863. For the sense ""worthless thing,"" see lemon (n.2). Slang meaning ""a Quaalude"" is 1960s, from Lemmon, name of a pharmaceutical company that once manufactured the drug. The surname is from Middle English leman ""sweetheart, lover."" Lemon-juice is attested from 1610s; the candy lemon-drop from 1807. The East Indian lemon-grass (1837) is so called for its smell.","lymon,limon,laimun,limun,limo,limaw,lime,lemon,Lemmon,leman,Lemon-juice,lemon-drop,lemon-grass"
"(lemon (n.2)_E, lemon (n.1)_E)",lemon (n.2),"""worthless thing, disappointment, booby prize,"" 1909, American English slang; from lemon (n.1), perhaps via a criminal slang sense of ""a person who is a loser, a simpleton,"" perhaps an image of someone a sharper can ""suck the juice out of."" A pool hall hustle was called a lemon game (1908); while to hand someone a lemon was British slang (1906) for ""to pass off a sub-standard article as a good one."" Or it simply may be a metaphor for something which leaves a bad taste in one's mouth. Specific sense of ""second-hand car in poor condition"" is by 1931.","lemon,lemon game,to hand someone a lemon"
"(lemon (v.)_E, lemon (n.1)_E)",lemon (v.),"1767 (implied in lemoned), from lemon (n.1).","lemoned,lemon"
"(loader_E, load (v.)_E)",loader,"late 15c., ""person who loads,"" agent noun from load (v.). Of machinery, by 1862.",load
"(lush (adj.)_E, lasche_OF);(lasche_OF, laschier_OF);(laschier_F, laxicare_LateL);(laxicare_LateL, laxare_L);(laxare_L, *sleg-_LPIE)",lush (adj.),"mid-15c., ""lax, flaccid, soft, tender"" (obsolete or dialectal), from Old French lasche ""soft, loose, slack, negligent, cowardly,"" from laschier ""loosen,"" from Late Latin laxicare ""become shaky,"" related to Latin laxare ""loosen,"" from laxus ""loose"" (from PIE root *sleg- ""be slack, be languid""). The main modern sense of the word, with reference to plant life, ""luxuriant in growth,"" is first attested c. 1600, in Shakespeare. Related: Lushly; lushness.","lasche,laschier,laxicare,laxare,laxus,*sleg-,Lushly,lushness"
"(lush (n.)_E, lush ken_E)",lush (n.),"""drunkard,"" 1890, from earlier slang meaning ""liquor"" (1790, especially in phrase lush ken ""alehouse""), of obscure origin; perhaps a humorous use of lush (adj.) or from a word in Romany or Shelta (tinkers' jargon). It also was a verb, ""to drink heavily"" (1811).
LUSHEY. Drunk. The rolling kiddeys had a spree, and got bloody lushey; the dashing lads went on a party of pleasure, and got very drunk. [""Dictionary of Buckish Slang, University Wit, and Pickpocket Eloquence,"" London, 1811]Hence also Lushington humorous generic name for a tippler (1823). It was an actual surname.","lush ken,lush,Lushington"
"(lagoon_E, lagune_E);(lagune_E, laguna_E);(laguna_E, lagune_F/laguna_I);(lagune_F, lacuna_L);(lacuna_L, lacus_L)",lagoon,"1670s, lagune, earlier laguna (1610s), ""area of marsh or shallow, brackish water beside a sea but separated from it by dunes,"" from French lagune or directly from Italian laguna ""pond, lake,"" from Latin lacuna ""pond, hole,"" from lacus ""pond"" (see lake (n.1)). Originally in reference to the region of Venice. The word was applied 1769 (by Capt. Cook) to the lake-like stretch of water enclosed in a South Seas atoll. Also see -oon. Related: Lagoonal.In regions where Spanish is or formerly was the current language, the word lagoon is likely to be used with more latitude of meaning, since in the Spanish laguna is applied to ordinary lakes, to the bottoms of deep bays, especially when these are more or less closed in by a narrowing of the coast-lines, so as to give rise to lake-like areas, and also to shallow, swampy, or almost dried-up lakes inland as well as near the coast. [Century Dictionary]","lagune,laguna,lagune,laguna,lacuna,lacus,lake,-oon,Lagoonal,lagoon,laguna"
"(languishment_E, languish (v.)_E, -ment_E)",languishment,"1540s, ""sorrow caused by love;"" 1590s, ""sickness; m,ental distress,"" from languish (v.) + -ment.","languish,-ment"
"(lovey_E, love (n.)_E, -y (3)_E)",lovey,"affectionate pet name, 1731, from love (n.) + -y (3). Extended form lovey-dovey attested from 1819 (n.), 1847 as an adjective.","love,-y,lovey-dovey"
"(limpsy_E, limp (adj.)_E)",limpsy,"also limsy, 1825, a colloquial New England form of limp (adj.). For the formation, compare cutesy, drowsy, flimsy, tricksy, tipsy.","limsy,limp,cutesy,drowsy,flimsy,tricksy,tipsy"
"(larch_E, Lärche_Ger);(Lärche_Ger, larche_HGer);(larche_HGer, *larihha_OHGer);(*larihha_OHGer, larix_L)",larch,"type of coniferous tree with needle-shaped deciduous leaves, 1548, (William Turner, ""Names of Herbes""), from German Lärche, from Middle High German larche, from Old High German *larihha, from Latin larix (genitive laricis), probably a loan-word from an Alpine Gaulish language. De Vaan discourages the suggestion that it could be related to Old Celtic *darik- ""oak.""

Native to the Alps; the name later was extended to North American species. Compare Danish lærke, Dutch lorken, also from Latin. In French, Old French larice was replaced by mélèze (14c.), a word of uncertain origin.","Lärche,larche,*larihha,larix,laricis,*darik-,lærke,lorken,larice,mélèze"
"(launderer_E, launder_E, -er (1)_E)",launderer,"mid-15c., lawnderer ""washerwoman, laundress;"" see launder + -er (1).","lawnderer,launder,-er"
"(lawful_E, law (n.)_E, -ful_E)",lawful,"c. 1300, laghful, ""rightful, supported by law"" (of sanctions, etc.); see law (n.) + -ful. Meaning ""allowed by law"" is late 14c. Similar construction in Old Norse logfullr. Old English had lahlic. Related: Lawfully; lawfulness.","laghful,law,-ful,logfullr,lahlic,Lawfully,lawfulness"
"(localise_E, localize_E, -ize_E)",localise,"chiefly British English spelling of localize. For suffix, see -ize. Related: Localised; localising; localisation.","localize,-ize,Localised,localising,localisation"
"(leggy_E, leg (n.)_E, -y (2)_E)",leggy,"1787, ""having notably long legs,"" from leg (n.) + -y (2). At first with suggestion of disproportion and ungainliness; attested by 1866 approvingly. Related: Legginess.","leg,-y,Legginess"
"(lapsed_E, lapse (v.)_E)",lapsed,"of persons, ""fallen away from the faith,"" 1630s, past-participle adjective from lapse (v.). Originally especially to those who denied Christianity during prosecution.",lapse
"(lawmaker_E, law (n.)_E, maker_E)",lawmaker,"also law-maker, ""legislator,"" late 15c., from law (n.) + maker.","law-maker,law,maker"
